OBD times,OBD rpm,OBD coolant temperature,OBD engine load,OBD velocity
430,1441.209719,60.10631586,37.82757897,33.91033466
431,1737.63221,60.39157411,38.00710468,33.60662062
432,2057.665647,60.73913759,38.22584184,32.69022618
433,1556.250878,60.99647128,38.38779339,31.79082871
434,1457.611667,61.156604,38.48857203,31.26613062
435,1444.556735,61.24378273,38.54343748,30.91069018
436,1405.16617,61.29681158,38.5768109,30.0363842
437,1366.506208,61.34839653,38.6092756,28.05370553
438,1343.952433,61.4149955,38.6511893,24.54846156
439,1328.674078,61.48923142,38.69790927,20.28033638
440,1291.092656,61.53999231,38.72985535,15.23164531
441,1205.868621,61.55059876,38.73653046,10.04137768
442,1556.647863,61.5636284,38.7447306,5.569467009
443,1407.428426,61.56159139,38.74344861,2.395415284
444,1057.055967,61.56017516,38.74255732,0.627615072
445,759.3624867,61.58201003,38.75629897,0.037516594
446,745.9580854,61.63191814,38.78770837,0.000108827
447,5.52E+02,61.67248095,38.81323635,4.55865E-06
448,50.23322748,61.66999657,38.81167281,1.41E-06
449,0.002710356,61.66264922,38.8070488,6.27E-07
450,4.6184E-08,61.65530591,38.80242733,3.30E-07
451,0,61.64796421,38.79780687,1.92E-07
452,0,61.64062399,38.79318734,1.19E-07
453,0,61.63328526,38.78856876,7.72E-08
454,0,61.62594802,38.7839511,5.17E-08
455,0,61.61861227,38.77933439,3.55E-08
456,0,61.611278,38.77471861,2.49E-08
457,0,61.60394523,38.77010377,1.77E-08
458,0,61.59661394,38.76548986,1.27E-08
459,0,61.58928414,38.76087689,9.27E-09
460,0,61.58195583,38.75626486,6.80E-09
461,0,61.574629,38.75165376,5.03E-09
462,0,61.56730366,38.7470436,3.74E-09
463,0,61.5599798,38.74243437,2.79E-09
464,0,61.55265743,38.73782608,2.09E-09
465,0,61.54533654,38.73321872,1.58E-09
466,0,61.53801714,38.72861229,1.19E-09
467,0,61.53069923,38.7240068,9.02E-10
468,0,61.5233828,38.71940225,6.85E-10
469,0,61.51606785,38.71479862,5.21E-10
470,0,61.50875438,38.71019593,3.55E-10
471,0,61.5014424,38.70559418,-2.35E-20
472,0,61.4941319,38.70099336,-2.35E-20
473,0,61.48682288,38.69639347,-2.35E-20
474,0,61.47951535,38.69179451,-2.35E-20
475,0,61.4722093,38.68719649,-2.35E-20
476,0,61.46490472,38.68259939,-2.35E-20
477,0,61.45760163,38.67800323,-2.35E-20
478,0,61.45030002,38.67340801,-2.35E-20
479,0,61.44299989,38.66881371,-2.35E-20
480,0,61.43570125,38.66422034,-2.35E-20
481,0,61.42840408,38.65962791,-2.35E-20
482,0,61.42110839,38.65503641,-2.35E-20
483,0,61.41381417,38.65044584,-2.35E-20
484,0,61.40652144,38.64585619,-2.35E-20
485,0,61.39923019,38.64126748,-2.35E-20
486,0,61.39194041,38.6366797,-2.35E-20
487,0,61.38465211,38.63209285,-2.35E-20
488,0,61.37736529,38.62750693,-2.35E-20
489,0,61.37007995,38.62292194,-2.35E-20
490,0,61.36279608,38.61833788,-2.35E-20
491,0,61.35551369,38.61375475,-2.35E-20
492,0,61.34823277,38.60917254,-2.35E-20
493,0,61.34095333,38.60459127,-2.35E-20
494,0,61.33367537,38.60001092,-2.35E-20
495,0,61.32639888,38.5954315,-2.35E-20
496,0,61.31912387,38.59085301,-2.35E-20
497,0,61.31185033,38.58627545,-2.35E-20
498,0,61.30457826,38.58169881,-2.35E-20
499,0,61.29730767,38.57712311,-2.35E-20
500,0,61.29003855,38.57254833,-2.35E-20
501,0,61.2827709,38.56797447,-2.35E-20
502,0,61.27550473,38.56340155,-2.35E-20
503,0,61.26824003,38.55882955,-2.35E-20
504,0,61.2609768,38.55425847,-2.35E-20
505,0,61.25371504,38.54968833,-2.35E-20
506,0,61.24645475,38.54511911,-2.35E-20
507,0,61.23919594,38.54055081,-2.35E-20
508,0,61.23193859,38.53598344,-2.35E-20
509,0,61.22468272,38.531417,-2.35E-20
510,0,61.21742832,38.52685148,-2.35E-20
511,0,61.21017538,38.52228688,-2.27E-20
512,0,61.20292392,38.51772321,0.00E+00
513,0,61.19567392,38.51316047,0.320404868
514,0,61.18842539,38.50859865,2.799262668
515,0,61.18117833,38.50403775,5.693074589
516,0,61.17393274,38.49947778,9.830467397
517,564.7763219,61.22115017,38.52919381,15.06943006
518,756.1807543,61.32498843,38.59454384,18.5262629
519,769.5659166,61.4291984,38.66012781,20.28891858
520,1190.374119,61.5976763,38.76615846,20.5387705
521,1159.039068,61.8227419,38.90780225,20.06479952
522,1285.698055,62.03661166,39.04240001,19.21006063
523,1408.02402,62.1921612,39.14029425,18.1045813
524,1425.363411,62.29058819,39.20223874,16.40629193
525,1392.470454,62.36143354,39.24682487,13.48273563
526,1333.15271,62.41862204,39.28281613,9.592823592
527,1256.433912,62.46615351,39.3127298,5.706850863
528,1138.574883,62.49445857,39.33054344,2.913867724
529,930.0326977,62.50339743,39.33616906,1.424105773
530,745.9577032,62.53249309,39.35448025,0.439223626
531,745.9576932,62.5826833,39.38606719,0.000185854
532,6.43E+02,62.62850014,39.41490176,4.84899E-06
533,107.9417284,62.6316881,39.41690809,2.11E-06
534,0.024348973,62.6241383,39.41215666,5.33E-02
535,4.15454E-07,62.61659818,39.40741133,1.360798062
536,0,62.60906113,39.40266793,3.583555951
537,0,62.60152562,39.3979255,6.127380968
538,550.6510517,62.64395455,39.42462791,10.39731286
539,757.5964045,62.72539742,39.47588353,16.12084811
540,756.8449516,62.81097545,39.52974159,21.15166976
541,793.9540267,62.90652348,39.58987422,24.13753206
542,1259.013598,63.08167834,39.70010697,24.86160697
543,1952.078124,63.34888746,39.86827355,24.67652052
544,1644.438273,63.59919632,40.02580406,24.15976106
545,1675.112687,63.81537261,40.16185341,23.10809875
546,1725.362524,63.95044456,40.2468602,21.3182001
547,1712.517771,64.04562748,40.30676305,19.32351871
548,1676.65535,64.12711942,40.35804956,17.79732423
