times,alternator currents,battery currents,velocities
1343,0,-21.42638506,80.12215059
1344,0,-21.42638506,80.52685132
1345,0,-21.42638506,80.95416364
1346,0,-21.42638506,81.34261949
1347,0,-21.42638506,81.59425563
1348,0,-21.42638506,81.66784014
1349,0,-21.42638506,81.59247214
1350,0,-21.42638506,81.2197274
1351,0,-21.42638506,80.36694833
1352,-40.54827875,19.1156879,79.04815317
1353,-101.3706969,79.92879735,77.57903907
1354,-101.3706969,79.92879735,76.08262705
1355,-101.3706969,79.92879735,74.54947206
1356,-101.3706969,79.92879735,72.9226305
1357,-101.3706969,79.92879735,71.10038985
1358,-101.3706969,79.92879735,69.13290287
1359,-101.3706969,79.92879735,67.06874866
1360,-101.3706969,79.92879735,64.8555448
1361,-101.3706969,79.92879735,62.59788887
1362,-101.3706969,79.92879735,60.80435849
1363,-83.12397143,61.68486451,59.74232627
1364,0,-21.42638506,59.64214442
1365,0,-21.42638506,60.47433893
1366,0,-21.42638506,61.8192076
1367,0,-21.42638506,62.65615944
1368,0,-21.42638506,62.62333605
1369,-6.082241812,-15.34507412,61.28715154
1370,-101.3706969,79.92879735,59.40660002
1371,-99.34328293,77.9016937,58.11193696
1372,0,-21.42638506,57.64565047
1373,0,-21.42638506,57.62075249
1374,0,-21.42638506,57.5382124
1375,0,-21.42638506,56.93802494
1376,-95.28845506,73.8474864,55.37404672
1377,-101.3706969,79.92879735,52.58225339
1378,-8.109655749,-13.31797047,48.41031453
1379,-93.26104112,71.82038276,42.9897554
1380,-101.3706969,79.92879735,37.5620556
1381,-12.16448362,-9.263763173,32.00736832
1382,-87.17879931,65.73907181,28.19311338
1383,-14.19189756,-7.236659525,27.6433367
1384,0,-21.42638506,30.31107472
1385,0,-21.42638506,33.89940578
1386,0,-21.42638506,36.20917052
1387,0,-21.42638506,37.28066089
1388,0,-21.42638506,38.53058084
1389,0,-21.42638506,40.87477527
1390,0,-21.42638506,44.39251933
1391,0,-21.42638506,48.3450872
1392,0,-21.42638506,51.30457176
1393,0,-21.42638506,53.52729741
1394,0,-21.42638506,54.81842974
1395,0,-21.42638506,55.20816536
1396,0,-21.42638506,55.07905877
1397,0,-21.42638506,54.66396419
1398,0,-21.42638506,53.88067927
1399,-62.84983206,41.41382803,52.79299317
1400,-101.3706969,79.92879735,51.48484971
1401,-101.3706969,79.92879735,49.93681483
1402,-101.3706969,79.92879735,48.24887052
1403,-101.3706969,79.92879735,46.26403198
1404,-101.3706969,79.92879735,43.42029296
1405,-101.3706969,79.92879735,39.01106736
1406,-101.3706969,79.92879735,33.56315043
1407,-101.3706969,79.92879735,29.12365859
1408,-50.68534843,29.25120614,26.93882146
1409,0,-21.42638506,26.74542925
1410,0,-21.42638506,27.13042963
1411,0,-21.42638506,27.32660726
1412,0,-21.42638506,27.21672285
1413,0,-21.42638506,26.90475299
1414,0,-21.42638506,25.97011549
1415,0,-21.42638506,26.79239344
1416,0,-21.42638506,29.09281659
1417,0,-21.42638506,32.15012789
1418,0,-21.42638506,35.97696969
1419,0,-21.42638506,39.44067946
1420,0,-21.42638506,41.38982991
1421,0,-21.42638506,41.55054146
1422,-32.438623,11.00727331,39.7857602
1423,-101.3706969,79.92879735,36.87590685
1424,-70.95948781,49.52224263,34.79607498
1425,0,-21.42638506,34.35147545
1426,0,-21.42638506,35.21526295
1427,0,-21.42638506,37.59941559
1428,0,-21.42638506,40.57123238
1429,0,-21.42638506,42.30210283
1430,0,-21.42638506,42.46577742
1431,-26.35638119,4.925962364,41.22195653
1432,-101.3706969,79.92879735,38.44621005
1433,-101.3706969,79.92879735,33.93820945
1434,-101.3706969,79.92879735,28.55492754
1435,-101.3706969,79.92879735,22.79367778
1436,-79.06914356,57.63065722,19.37725456
1437,0,-21.42638506,18.96427933
1438,0,-21.42638506,20.04038936
1439,0,-21.42638506,21.37196578
1440,0,-21.42638506,21.99871202
1441,0,-21.42638506,21.76584555
1442,-12.16448362,-9.263763173,20.52575517
1443,-91.23362718,69.79327911,18.85968412
1444,0,-21.42638506,18.08060572
1445,0,-21.42638506,18.02986549
1446,0,-21.42638506,18.32134262
1447,0,-21.42638506,18.22113985
1448,-2.027413937,-19.39928141,16.498349
1449,-99.34328293,77.9016937,12.40185174
1450,0,-21.42638506,7.167590304
1451,0,-21.42638506,2.825154092
1452,0,-21.42638506,0.543636898
1453,0,-21.42638506,0.000193558
1454,0,-21.42638506,4.86442E-06
1455,0,-21.42638506,1.46456E-06
1456,0,-21.42638506,6.45721E-07
1457,0,-21.42638506,3.38677E-07
1458,0,-21.42638506,1.96329E-07
1459,0,-21.42638506,1.21446E-07
1460,0,-21.42638506,7.86054E-08
1461,0,-21.42638506,5.25937E-08
1462,0,-21.42638506,3.60871E-08
1463,0,-21.42638506,2.52518E-08
1464,0,-21.42638506,1.79477E-08
1465,0,-21.42638506,1.29182E-08
1466,0,-21.42638506,9.39462E-09
1467,0,-21.42638506,6.89074E-09
1468,0,-21.42638506,5.09036E-09
1469,0,-21.42638506,3.78299E-09
1470,0,-21.42638506,2.82568E-09
1471,0,-21.42638506,2.11974E-09
1472,0,-21.42638506,1.59603E-09
1473,0,-21.42638506,1.20551E-09
1474,0,-21.42638506,9.13018E-10
1475,0,-21.42638506,6.93112E-10
1476,0,-21.42638506,5.27237E-10
1477,0,-21.42638506,3.73471E-10
1478,0,-21.42638506,2.15567E-19
1479,0,-185.1423458,0.528456005
1480,0,-57.36403498,2.882928007
